lat,lon,densidade,densidade_baseline
-23.73274496644295,-46.81981208053691,7606.249201727218,2216.259076598262
-23.728375838926173,-46.81981208053691,7714.635438141789,2221.087369397232
-23.724006711409395,-46.81981208053691,7821.062646370177,2225.7343432267344
-23.719637583892617,-46.81981208053691,7925.403654851496,2230.198815071134
-23.71526845637584,-46.81981208053691,8027.532137380964,2234.4796466818134
-23.71089932885906,-46.81981208053691,8127.322854381673,2238.5757450603705
-23.70653020134228,-46.81981208053691,8224.651895814088,2242.4860629233367
-23.702161073825504,-46.81981208053691,8319.396925110721,2246.209599148043
-23.697791946308723,-46.81981208053691,8411.437423512061,2249.7453991994475
-23.693422818791944,-46.81981208053691,8500.654934164122,2253.0925555376207
-23.689053691275166,-46.81981208053691,8586.933305330767,2256.2502080056292
-23.68468456375839,-46.81981208053691,8670.158932062897,2259.217544197678
-23.68031543624161,-46.81981208053691,8750.220995662812,2261.993799807148
-23.675946308724832,-46.81981208053691,8827.01170027449,2264.578258954481
-23.67157718120805,-46.81981208053691,8900.426505933012,2266.9702544945667
-23.66720805369128,-46.81981208053691,8970.364357401791,2269.1691683035438
-23.66283892617449,-46.81981208053691,9036.727908132045,2271.174431544847
-23.65846979865772,-46.81981208053691,9099.423738682435,2272.9855249142206
-23.654100671140935,-46.81981208053691,9158.36256894437,2274.6019788637313
-23.64973154362416,-46.81981208053691,9213.459463526824,2276.0233738044817
-23.645362416107385,-46.81981208053691,9264.63402966862,2277.249340288004
-23.640993288590604,-46.81981208053691,9311.81060705705,2278.279559166187
-23.636624161073826,-46.81981208053691,9354.918448951668,2279.1137617296354
-23.632255033557048,-46.81981208053691,9393.891894028684,2279.751729824398
-23.627885906040262,-46.81981208053691,9428.67052838246,2280.1932959469564
-23.623516778523488,-46.81981208053691,9459.199337145685,2280.43834331747
-23.61914765100671,-46.81981208053691,9485.42884521379,2280.4868059312016
-23.61477852348993,-46.81981208053691,9507.315246587434,2280.3386685880696
-23.610409395973157,-46.81981208053691,9524.820521876343,2279.993966900369
-23.606040268456372,-46.81981208053691,9537.912543540564,2279.4527872785675
-23.6016711409396,-46.81981208053691,9546.565168477196,2278.7152668953104
-23.59730201342282,-46.81981208053691,9550.758317597716,2277.7815936275047
-23.59293288590604,-46.81981208053691,9550.478042076124,2276.6520059766576
-23.58856375838926,-46.81981208053691,9545.716575990333,2275.3267929674003
-23.58419463087248,-46.81981208053691,9536.472375113588,2273.806294024357
-23.579825503355703,-46.81981208053691,9522.750141661158,2272.0908988273445
-23.575456375838925,-46.81981208053691,9504.560834833384,2270.181047145057
-23.571087248322147,-46.81981208053691,9481.92166704428,2268.07722864732
-23.56671812080537,-46.81981208053691,9454.85608576742,2265.779982695942
-23.56234899328859,-46.81981208053691,9423.39374097551,2263.289898114467
-23.557979865771813,-46.81981208053691,9387.570438196351,2260.6076129367534
-23.55361073825503,-46.81981208053691,9347.428077253977,2257.7338141347345
-23.549241610738253,-46.81981208053691,9303.01457680828,2254.669237325336
-23.544872483221475,-46.81981208053691,9254.383784853791,2251.4146664568693
-23.540503355704697,-46.81981208053691,9201.595375383646,2247.970933474992
-23.53613422818792,-46.81981208053691,9144.714731469465,2244.3389179685287
-23.53176510067114,-46.81981208053691,9083.812815052155,2240.5195467952494
-23.527395973154363,-46.81981208053691,9018.96602378565,2236.513793687917
-23.523026845637585,-46.81981208053691,8950.256035312854,2232.3226788408
-23.518657718120803,-46.81981208053691,8877.769639400325,2227.9472684769266
-23.514288590604025,-46.81981208053691,8801.59855839551,2223.388674396275
-23.509919463087247,-46.81981208053691,8721.83925650871,2218.648053505234
-23.50555033557047,-46.81981208053691,8638.592738462385,2213.7266073276
-23.50118120805369,-46.81981208053691,8551.96433808171,2208.6255814973347
